Precinct_Name,Split_Name,precinct_splitId,Reg_voters,Ballots,Reporting,Contest_id,Contest_title,Contest_party,Choice_id,Candidate_name,Choice_party,Candidate_Type,Absentee_votes,Early_votes,Election_Votes
1-Jan,,1,3760,1199,1,1,US Senator,,1,"(G) BREWER, Jim",GRE,C,0,0,42
1-Jan,,1,3760,1199,1,1,US Senator,,2,"(R) CAVASSO, Cam",REP,C,0,0,240
1-Jan,,1,3760,1199,1,1,US Senator,,3,"(D) INOUYE, Daniel K.",DEM,C,0,0,862
1-Jan,,1,3760,1199,1,1,US Senator,,4,"(N) JARRETT, Jeff",NPP,C,0,0,14
1-Jan,,1,3760,1199,1,1,US Senator,,5,"(L) MALLAN, Lloyd Jeffrey",LIB,C,0,0,21
1-Jan,,1,3760,1199,1,3,"US Representative, Dist 2",,8,"(L) BROCK, Pat",LIB,C,0,0,34
1-Jan,,1,3760,1199,1,3,"US Representative, Dist 2",,9,"(D) HIRONO, Mazie",DEM,C,0,0,808
1-Jan,,1,3760,1199,1,3,"US Representative, Dist 2",,10,"(N) VON SONN, Andrew Vsevolod",NPP,C,0,0,12
1-Jan,,1,3760,1199,1,3,"US Representative, Dist 2",,11,"(R) WILLOUGHBY, John W.",REP,C,0,0,278
1-Jan,,1,3760,1199,1,4,Governor and Lieutenant Governor,,12,(D) ABERCROMBIE / SCHATZ,DEM,C,0,0,716
1-Jan,,1,3760,1199,1,4,Governor and Lieutenant Governor,,13,(R) AIONA / FINNEGAN,REP,C,0,0,466
1-Jan,,1,3760,1199,1,4,Governor and Lieutenant Governor,,14,(F) CUNNINGHAM / SPENCE,FRE,C,0,0,5
1-Jan,,1,3760,1199,1,4,Governor and Lieutenant Governor,,15,(N) POLLARD / KAMA,NPP,C,0,0,10
1-Jan,,1,3760,1199,1,19,"State Representative, Dist 1",,44,"(R) D'ALMEIDA, Eric Paul",REP,C,0,0,308
1-Jan,,1,3760,1199,1,19,"State Representative, Dist 1",,45,"(D) NAKASHIMA, Mark M.",DEM,C,0,0,804
1-Jan,,1,3760,1199,1,69,2nd Departmental School Board Seat (Maui),,149,"HART, R. Ray",,C,0,0,319
1-Jan,,1,3760,1199,1,69,2nd Departmental School Board Seat (Maui),,150,"ROCHA-WILSON, Leona",,C,0,0,509
1-Jan,,1,3760,1199,1,70,"""At Large"" Trustee",,151,"AKANA, Rowena M. N.",,C,0,0,474
1-Jan,,1,3760,1199,1,70,"""At Large"" Trustee",,152,"HOPKINS, Kama",,C,0,0,131
1-Jan,,1,3760,1199,1,70,"""At Large"" Trustee",,153,"KALIMA, Leona Mapuana",,C,0,0,301
1-Jan,,1,3760,1199,1,70,"""At Large"" Trustee",,154,"LEWIS, Joseph Kuhio",,C,0,0,121
1-Jan,,1,3760,1199,1,70,"""At Large"" Trustee",,155,"MAKEKAU, Kealii J.",,C,0,0,185
1-Jan,,1,3760,1199,1,70,"""At Large"" Trustee",,156,"MEYERS, William (Willy)",,C,0,0,131
1-Jan,,1,3760,1199,1,70,"""At Large"" Trustee",,157,"ODEGAARD, Michael Malulani",,C,0,0,57
1-Jan,,1,3760,1199,1,70,"""At Large"" Trustee",,158,"STENDER, Oswald (Oz)",,C,0,0,218
1-Jan,,1,3760,1199,1,70,"""At Large"" Trustee",,159,"WAIHEE, John IV",,C,0,0,432
1-Jan,,1,3760,1199,1,71,Oahu Resident Trustee,,160,"APO, Peter",,C,0,0,248
1-Jan,,1,3760,1199,1,71,Oahu Resident Trustee,,161,"BURKE, Jackie Kahookele",,C,0,0,213
1-Jan,,1,3760,1199,1,71,Oahu Resident Trustee,,162,"HEEN, Walter Meheula",,C,0,0,163
1-Jan,,1,3760,1199,1,72,Maui Resident Trustee,,163,"MOSSMAN, Boyd Poki",,C,0,0,510
1-Jan,,1,3760,1199,1,90,CON AMEND: Relating to the Board of Education,,207,NO,,C,0,0,565
1-Jan,,1,3760,1199,1,90,CON AMEND: Relating to the Board of Education,,208,YES,,C,0,0,571
1-Jan,,1,3760,1199,1,91,CON AMEND: Relating to the Tax Rebate Requirement,,209,NO,,C,0,0,364
1-Jan,,1,3760,1199,1,91,CON AMEND: Relating to the Tax Rebate Requirement,,210,YES,,C,0,0,753
1-Jan,,1,3760,1199,1,92,HAWAII: Establishment of an Open Space Fund,,211,NO,,C,0,0,318
1-Jan,,1,3760,1199,1,92,HAWAII: Establishment of an Open Space Fund,,212,YES,,C,0,0,778
1-Jan,,1,3760,1199,1,93,HAWAII: Recall,,213,NO,,C,0,0,454
1-Jan,,1,3760,1199,1,93,HAWAII: Recall,,214,YES,,C,0,0,589
1-Jan,,1,3760,1199,1,94,HAWAII: Charter Amendment Petitions,,215,NO,,C,0,0,471
1-Jan,,1,3760,1199,1,94,HAWAII: Charter Amendment Petitions,,216,YES,,C,0,0,556
1-Jan,,1,3760,1199,1,95,HAWAII: Civil Service Laws,,217,NO,,C,0,0,492
1-Jan,,1,3760,1199,1,95,HAWAII: Civil Service Laws,,218,YES,,C,0,0,455
1-Jan,,1,3760,1199,1,96,HAWAII: Reapportionment Commission,,219,NO,,C,0,0,264
1-Jan,,1,3760,1199,1,96,HAWAII: Reapportionment Commission,,220,YES,,C,0,0,739
1-Jan,,1,3760,1199,1,97,HAWAII: Preservation of Natural and Cultural Resources,,221,NO,,C,0,0,193
1-Jan,,1,3760,1199,1,97,HAWAII: Preservation of Natural and Cultural Resources,,222,YES,,C,0,0,893
1-Jan,,1,3760,1199,1,98,"HAWAII: Grammar, Spelling, and Formatting of the Charter",,223,NO,,C,0,0,188
1-Jan,,1,3760,1199,1,98,"HAWAII: Grammar, Spelling, and Formatting of the Charter",,224,YES,,C,0,0,873
1-Jan,,1,3760,1199,1,99,HAWAII: Department of Water Supply,,225,NO,,C,0,0,358
1-Jan,,1,3760,1199,1,99,HAWAII: Department of Water Supply,,226,YES,,C,0,0,691
1-Jan,,1,3760,1199,1,100,HAWAII: Data Systems,,227,NO,,C,0,0,354
1-Jan,,1,3760,1199,1,100,HAWAII: Data Systems,,228,YES,,C,0,0,670
1-Jan,,1,3760,1199,1,101,HAWAII: Fire Department,,229,NO,,C,0,0,265
1-Jan,,1,3760,1199,1,101,HAWAII: Fire Department,,230,YES,,C,0,0,786
1-Jan,,1,3760,1199,1,102,HAWAII: Duties of the Director of Environmental Management,,231,NO,,C,0,0,384
1-Jan,,1,3760,1199,1,102,HAWAII: Duties of the Director of Environmental Management,,232,YES,,C,0,0,687
